"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* Erforderliche Felder"
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Windows-1250","Windows-1250"
"Windows-1251","Windows-1251"
"Windows-1252","Windows-1252"
"Windows-1253","Windows-1253"
"Windows-1254","Windows-1254"
"Windows-1255","Windows-1255"
"Windows-1256","Windows-1256"
"Windows-1257","Windows-1257"
"Windows-1258","Windows-1258"
"Windows-874","Windows-874"
"With this setting you can disable the check for modifications to the shipping address. If the check is disabled, you have to make sure you deliver your items to the address entered at PayPal Plus, otherwise you will loose your seller protection.","Deaktivieren Sie mit dieser Einstellung die Verifikation der Lieferadresse und Bestelladresse. Bestellungen werden dann auch akzeptiert wenn diese nicht genau identisch sind. Bitte beachten Sie aber, dass Sie in diesem Fall an die Adresse liefern müssen, welche der Kunde bei PayPal Plus angegeben hat. Sonst erhalten Sie keinen Verkäuferschutz."
"Without Seller Protection.","Ohne Verkäuferschutz."
"Without protection against claims for items not received.","Ohne Schutz gegen Ansprüche von nicht erhaltenen Artikel."
"Without protection against claims for unauthorized payments.","Ohne Schutz gegen Ansprüche von nicht autorisierten Zahlungen."
"Year","Jahr"
"Yes","Ja"
"Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unisicheren Autorisierung."
"You can select if transaction without full seller protection should be marked as uncertain.","Definieren Sie, ob die Transaktion ohne seller protection als ON Hold gekennzeichnet werden."
"You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt nach der Bestellung oder manuell im Backend verbucht werden."
"You can specify the order status of Echeck payments for orders that are successful after being in a uncertain state. The status is changed automatically after PayPal sends a notification of the payment.","You can specify the order status of Echeck payments for orders that are successful after being in a uncertain state. The status is changed automatically after PayPal sends a notification of the payment."
"You can specify the order status of payments, which are declined after being pending at PayPal Plus.","Sie können den Bestellstatus für ausstehenden Zahlungen, welche abgelehnt wurden bei PayPal Plus spezifizieren."
"You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"You created the order.","Sie haben die Bestellung aufgegeben."
"You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"You have to enter the BIC.","Sie müssen die BIC eingeben."
"You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Your checkout session expired.","Ihre Sitzung ist abgelaufen."
"Your payment was not successful, please contact the merchant.","Your payment was not successful, please contact the merchant."
"Your payment was not successful.","Your payment was not successful."
"PayPalPlusCw Aliases","PayPalPlusCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"PayPal Plus","PayPal Plus"
"PayPal Plus Aliases","PayPal Plus Aliasse"
"PayPal Plus Error","PayPal Plus Fehler"
"PayPal Plus Parameters","PayPal Plus Parameter"
"PayPal Plus Refund Items","PayPal Plus Gutschriftsartikel"
"PayPal Plus Refund.","PayPal Plus Refund."
"PayPal Plus Section","PayPal Plus Sektion"
"PayPal Plus Transactions","PayPal Plus Transaktion"
"PayPal Plus: Alias Management","PayPal Plus: Alias Management"
"customweb ltd","customweb GmbH"
"no","Nein"
"or","oder"
"x-mac-centraleurroman","x-mac-centraleurroman"
"x-mac-cyrillic","x-mac-cyrillic"
"x-mac-greek","x-mac-greek"
"x-mac-turkish","x-mac-turkish"
"yes","Ja"
